id,label,type,name,source,source_id,uri,modifiers
3635c97d-b692-405a-891d-59d4a7a9b7fd,AOP,aop,TH displacement from serum TBG leading to altered amphibian metamorphosis,AOPWiki,,,[]
36605177-9895-4bc0-9f30-832f196eec40,Stressor,stressor,Wilson's disease,,,,"[""stressor""]"
36623eb4-f39c-4028-a709-238ea580d15b,KeyEvent,key-event,"Decreased, neuroplasticity",AOPWiki,,,[]
366fd02a-b9e2-43d4-ad47-05d59010b16e,BiologicalTerm,biological-object,vagus nerve,UBERON,UBERON:0001759,,[]
36850b60-eab3-48f6-9010-4965c44ab0d8,BiologicalTerm,biological-process,neurotransmitter reuptake,GO,GO:0098810,,[]
36a17ea3-79fc-401c-bd0f-37583c6a48ec,KeyEvent,key-event,Increased NKA,AOPWiki,,,[]
36cc8cd6-d6ba-4ada-ac69-04560b6dcb18,KeyEvent,key-event,"Weak, Procuticle protection",AOPWiki,,,[]
36ec8980-d472-47cd-88d8-3a6bc4471df1,Chemical,chemical,Mercuric chloride,DSSTox,DTXSID5020811,,"[""stressor""]"
37045ca7-87d8-420f-a2d0-d3a0064b306b,AOP,aop,Molecular events lead to epilepsy,AOPWiki,,,[]
3706eda3-2b72-44e8-a918-a299e2d0430e,BiologicalTerm,biological-object,hemolysis,MESH,D006461,,[]
3707f2af-d340-458c-aa75-bdbf57eb854f,BiologicalTerm,biological-process,regulation of protein modification process,GO,GO:0031399,,[]
371ba937-346c-4b5c-aa85-ef4a32ea2ea9,BiologicalTerm,biological-process,increased uterus weight,MP,MP:0004904,,[]
372d09a2-580c-49a6-a396-85a08cb1009f,Taxon,taxonomy,Caenorhabditis elegans,NCBI,6239,,[]
3761f523-48b2-47e6-bd7e-6c4392515f13,KeyEvent,key-event,"Decline, Population trajectory",AOPWiki,,,[]
3767b2a4-54dd-4dce-a254-26706657c9b3,BiologicalTerm,biological-object,MAD2 like protein (fruit fly),PR,PR:Q9VNE1,,[]
376fc7ae-be16-4b4d-8dbe-8494fbce7fc9,KeyEvent,key-event,"Increased, Cell Proliferation (mesothelium)",AOPWiki,,,[]
377e986e-7c83-48b0-843a-495a1a79cc51,AOP,aop,Androgen receptor agonism leading to long anogenital distance in female offspring,AOPWiki,,,[]
379271d7-43c6-4f25-b7c1-393f97bc9e92,BiologicalTerm,biological-object,retinal dehydrogenase 1,PR,PR:000003920,,[]
37b04ffd-3a50-474b-8f78-45d14e3a49cc,BiologicalTerm,biological-process,retina layer formation,GO,GO:0010842,,[]
37bc8646-da79-46fd-a54b-c61bfa66dea8,KeyEvent,key-event,Coagulation,AOPWiki,,,[]
37bfe965-895b-4c0e-b370-2f616f31dead,AOP,aop,Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11),AOPWiki,,,[]
